Area of park,Population year,Survey Year,Survey Month,Survey Day,Species name,Unknown age and sex count,Adult male count,Adult female count,Adult unknown count,Yearling count,Calf count,Survey total,Sightability correction factor,Additional captive count,Animals removed prior to survey,Fall population estimate,Survey comment,Estimate method
North,1942,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,631,,Ground
North,1942,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,,Ground
North,1942,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190,,Ground
North,1943,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1373,,Ground
North,1943,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800,,Ground
North,1943,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,,Ground
North,1943,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,265,,Ground
North,1944,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1150,,Ground
North,1944,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,635,,Ground
North,1944,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,,Ground
North,1944,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,,Ground
North,1945,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1296,,Ground
North,1945,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,723,,Ground
North,1945,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,,Ground
North,1945,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,325,,Ground
North,1946,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1085,,Ground
North,1946,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,851,,Ground
North,1946,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,,Ground
North,1946,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,390,,Ground
North,1947,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1291,,Ground
North,1947,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,751,,Ground
North,1947,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,,Ground
North,1947,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,487,,Ground
North,1948,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1496,,Ground
North,1948,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,830,,Ground
North,1948,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,,Ground
North,1948,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,382,,Ground
North,1949,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1167,,Ground
North,1949,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,674,,Ground
North,1949,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113,,Ground
North,1949,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,355,,Ground
North,1950,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1440,,Ground
North,1950,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,630,,Ground
North,1950,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132,,Ground
North,1950,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,348,,Ground
North,1951,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1785,,Ground
North,1951,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,784,,Ground
North,1951,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113,,Ground
North,1951,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,387,,Ground
North,1952,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1411,,Ground
North,1952,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,782,,Ground
North,1952,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,,Ground
North,1952,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,375,,Ground
North,1953,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1552,,Ground
North,1953,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,840,,Ground
North,1953,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,,Ground
North,1953,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,360,,Ground
North,1954,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1146,,Ground
North,1954,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,955,,Ground
North,1954,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113,,Ground
North,1954,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,335,,Ground
North,1955,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1426,,Ground
North,1955,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,999,,Ground
North,1955,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,,Ground
North,1955,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,367,,Ground
North,1956,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1242,,Ground
North,1956,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1149,,Ground
North,1956,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,,Ground
North,1956,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,370,,Ground
North,1957,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,865,,Ground
North,1957,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,,Ground
North,1957,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1049,,Ground
North,1957,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,275,,Ground
North,1958,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,680,,Aerial
South,1958,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,,Aerial
North,1958,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,,Aerial
South,1958,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,,Aerial
North,1958,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1417,,Aerial
North,1958,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,342,,Aerial
South,1958,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,Aerial
North,1959,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1173,,Aerial
North,1959,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,,Aerial
North,1959,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,640,,Aerial
South,1959,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,,Aerial
North,1959,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,234,,Aerial
South,1959,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160,,Aerial
South,1959,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,,Aerial
South,1960,1961,2,20,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154,,Aerial
North,1960,1961,2,21,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,700,,Aerial
North,1960,1961,2,21,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,,Aerial
North,1960,1961,2,21,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,260,,Aerial
South,1960,1961,2,20,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,,Aerial
North,1960,1961,2,21,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123,,Aerial
South,1960,1961,2,20,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,,Aerial
South,1961,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149,,Aerial
North,1961,1961,12,14,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,794,,Aerial
North,1961,1961,12,14,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230,,Aerial
North,1961,1961,12,14,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,,Aerial
South,1963,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128,,Aerial
